"","time","Q_BVR_m3.d"
"1",2013-01-01,0
"2",2013-01-02,0
"3",2013-01-03,0
"4",2013-01-04,0
"5",2013-01-05,0
"6",2013-01-06,0
"7",2013-01-07,0
"8",2013-01-08,0
"9",2013-01-09,0
"10",2013-01-10,0
"11",2013-01-11,22472.5981371532
"12",2013-01-12,15730.8186960072
"13",2013-01-13,11011.573087205
"14",2013-01-14,16877.7671228697
"15",2013-01-15,48490.9859143838
"16",2013-01-16,41429.1740400687
"17",2013-01-17,40874.0654847981
"18",2013-01-18,28611.8458393586
"19",2013-01-19,20028.292087551
"20",2013-01-20,14019.8044612857
"21",2013-01-21,9813.86312290001
"22",2013-01-22,6869.70418603001
"23",2013-01-23,4808.79293022101
"24",2013-01-24,3366.15505115471
"25",2013-01-25,4383.78722285664
"26",2013-01-26,3068.65105599965
"27",2013-01-27,2148.05573919975
"28",2013-01-28,2237.24658040548
"29",2013-01-29,1566.07260628384
"30",2013-01-30,50361.3102642214
"31",2013-01-31,36792.24955658
"32",2013-02-01,25754.574689606
"33",2013-02-02,18028.2022827242
"34",2013-02-03,12619.7415979069
"35",2013-02-04,8833.81911853486
"36",2013-02-05,6183.6733829744
"37",2013-02-06,4328.57136808208
"38",2013-02-07,3029.99995765746
"39",2013-02-08,9298.30383461337
"40",2013-02-09,6508.81268422936
"41",2013-02-10,5507.47469514059
"42",2013-02-11,3855.23228659842
"43",2013-02-12,2698.66260061889
"44",2013-02-13,3440.1813090948
"45",2013-02-14,2408.12691636636
"46",2013-02-15,1685.68884145645
"47",2013-02-16,1179.98218901952
"48",2013-02-17,825.987532313661
"49",2013-02-18,578.191272619563
"50",2013-02-19,404.733890833694
"51",2013-02-20,283.313723583586
"52",2013-02-21,198.31960650851
"53",2013-02-22,138.823724555957
"54",2013-02-23,97.1766071891699
"55",2013-02-24,68.0236250324189
"56",2013-02-25,47.6165375226933
"57",2013-02-26,20277.8942903068
"58",2013-02-27,14194.5260032147
"59",2013-02-28,12043.3775465448
"60",2013-03-01,9752.39217433703
"61",2013-03-02,6826.67452203592
"62",2013-03-03,4778.67216542514
"63",2013-03-04,3345.0705157976
"64",2013-03-05,13326.1483979407
"65",2013-03-06,11483.3283785585
"66",2013-03-07,8038.32986499096
"67",2013-03-08,5626.83090549367
"68",2013-03-09,3938.78163384557
"69",2013-03-10,2757.1471436919
"70",2013-03-11,1930.00300058433
"71",2013-03-12,12190.8237553303
"72",2013-03-13,8533.57662873119
"73",2013-03-14,5973.50364011184
"74",2013-03-15,4181.45254807828
"75",2013-03-16,2927.0167836548
"76",2013-03-17,10967.5228109914
"77",2013-03-18,12186.371154194
"78",2013-03-19,8530.45980793579
"79",2013-03-20,5971.32186555505
"80",2013-03-21,4179.92530588854
"81",2013-03-22,2925.94771412198
"82",2013-03-23,2048.16339988538
"83",2013-03-24,9605.76089773155
"84",2013-03-25,8055.04712841208
"85",2013-03-26,5638.53298988846
"86",2013-03-27,3946.97309292192
"87",2013-03-28,2762.88116504534
"88",2013-03-29,1934.01681553174
"89",2013-03-30,1353.81177087222
"90",2013-03-31,2986.03822766468
"91",2013-04-01,2090.22675936528
"92",2013-04-02,1463.15873155569
"93",2013-04-03,1024.21111208899
"94",2013-04-04,5974.62053953978
"95",2013-04-05,4182.23437767785
"96",2013-04-06,2927.56406437449
"97",2013-04-07,2049.29484506215
"98",2013-04-08,1434.5063915435
"99",2013-04-09,1004.15447408045
"100",2013-04-10,702.908131856316
"101",2013-04-11,492.035692299421
"102",2013-04-12,25529.0718596872
"103",2013-04-13,17870.3503017811
"104",2013-04-14,12509.2452112467
"105",2013-04-15,13959.8134627454
"106",2013-04-16,9771.8694239218
"107",2013-04-17,6840.30859674526
"108",2013-04-18,4788.21601772168
"109",2013-04-19,11120.9018558002
"110",2013-04-20,7784.63129906016
"111",2013-04-21,5449.24190934211
"112",2013-04-22,3814.46933653948
"113",2013-04-23,2670.12853557764
"114",2013-04-24,1869.08997490435
"115",2013-04-25,1308.36298243304
"116",2013-04-26,915.854087703129
"117",2013-04-27,641.09786139219
"118",2013-04-28,6036.03023966846
"119",2013-04-29,4225.22116776792
"120",2013-04-30,2957.65481743755
"121",2013-05-01,2070.35837220628
"122",2013-05-02,1449.2508605444
"123",2013-05-03,1014.47560238108
"124",2013-05-04,710.132921666755
"125",2013-05-05,2878.9500378096
"126",2013-05-06,30815.6743313555
"127",2013-05-07,31776.3017751988
"128",2013-05-08,28697.5205007642
"129",2013-05-09,20088.2643505349
"130",2013-05-10,14456.9594864887
"131",2013-05-11,10119.8716405421
"132",2013-05-12,7083.91014837948
"133",2013-05-13,4958.73710386564
"134",2013-05-14,3471.11597270595
"135",2013-05-15,2429.78118089416
"136",2013-05-16,1700.84682662591
"137",2013-05-17,2147.18445186936
"138",2013-05-18,7285.63938560172
"139",2013-05-19,10593.7493004969
"140",2013-05-20,8302.39680066865
"141",2013-05-21,5811.67776046806
"142",2013-05-22,16452.3460577988
